date,ticker,company,open,high,low,close,volume
2022-02-28,META,Meta Platforms,344.0,350.33,343.07,348.75,16292725
2022-03-01,META,Meta Platforms,351.57,352.79,344.55,345.27,16061264
2022-03-02,META,Meta Platforms,346.58,358.32,345.71,357.92,12588401
2022-03-03,META,Meta Platforms,360.19,360.51,358.47,359.85,23138512
2022-03-04,META,Meta Platforms,366.74,367.11,364.08,364.45,13394151
2022-03-07,META,Meta Platforms,358.46,372.99,356.96,371.34,10439311
2022-03-08,META,Meta Platforms,368.99,385.47,368.62,384.11,18759587
2022-03-09,META,Meta Platforms,379.94,384.1,378.82,381.49,19854624
2022-03-10,META,Meta Platforms,378.61,393.45,377.88,392.02,22041927
2022-03-11,META,Meta Platforms,393.87,394.27,373.62,375.64,21412616
2022-03-14,META,Meta Platforms,380.89,381.85,379.36,381.11,13405699
2022-03-15,META,Meta Platforms,381.1,383.36,381.0,382.9,12637972
2022-03-16,META,Meta Platforms,385.73,391.83,385.1,390.39,30276622
2022-03-17,META,Meta Platforms,393.66,394.32,392.59,393.9,13896926
2022-03-18,META,Meta Platforms,390.87,397.8,388.79,396.2,11144345
2022-03-21,META,Meta Platforms,400.86,402.7,397.39,398.72,22957651
2022-03-22,META,Meta Platforms,393.24,399.62,390.95,398.89,25325859
2022-03-23,META,Meta Platforms,401.78,401.95,395.98,396.93,19721418
2022-03-24,META,Meta Platforms,397.64,399.16,380.74,381.07,32164134
2022-03-25,META,Meta Platforms,382.13,383.64,358.14,359.05,17041871
2022-03-28,META,Meta Platforms,353.75,363.0,353.52,362.12,10135763
2022-03-29,META,Meta Platforms,368.18,368.82,362.96,363.65,12268258
2022-03-30,META,Meta Platforms,361.76,365.2,361.69,364.57,20458974
2022-03-31,META,Meta Platforms,361.88,380.3,360.94,380.13,29488292
2022-04-01,META,Meta Platforms,383.55,387.97,372.44,373.41,14114219
2022-04-04,META,Meta Platforms,370.56,376.17,369.24,375.3,15836472
2022-04-05,META,Meta Platforms,381.02,384.07,380.02,383.94,15307781
2022-04-06,META,Meta Platforms,382.57,383.6,366.04,366.84,8847105
2022-04-07,META,Meta Platforms,372.44,372.72,365.94,366.97,7120414
2022-04-08,META,Meta Platforms,366.28,375.23,366.11,373.16,12059662
2022-04-11,META,Meta Platforms,376.46,382.1,374.1,381.66,12893283
2022-04-12,META,Meta Platforms,386.05,386.37,380.86,381.09,10525780
2022-04-13,META,Meta Platforms,379.98,382.84,378.95,381.11,12582434
2022-04-14,META,Meta Platforms,381.08,382.48,377.66,379.56,25594614
2022-04-15,META,Meta Platforms,380.18,381.44,376.89,376.92,11179302
2022-04-18,META,Meta Platforms,371.87,373.48,363.79,366.54,9997198
2022-04-19,META,Meta Platforms,371.52,372.44,354.0,356.21,7412608
2022-04-20,META,Meta Platforms,351.34,354.88,351.34,353.26,16569230
2022-04-21,META,Meta Platforms,350.16,357.31,349.11,357.22,15878174
2022-04-22,META,Meta Platforms,361.32,363.14,345.7,345.7,22154265
2022-04-25,META,Meta Platforms,348.87,349.03,347.14,347.74,19685257
2022-04-26,META,Meta Platforms,340.5,350.99,339.63,349.63,18713201
2022-04-27,META,Meta Platforms,344.1,357.79,340.84,357.56,13788763
2022-04-28,META,Meta Platforms,356.5,357.61,354.49,355.02,12661054
2022-04-29,META,Meta Platforms,347.42,348.86,341.75,344.88,17771796
2022-05-02,META,Meta Platforms,340.09,355.96,338.5,354.34,20739300
2022-05-03,META,Meta Platforms,354.75,356.52,345.08,348.71,11679571
2022-05-04,META,Meta Platforms,345.62,358.23,344.86,356.32,18760781
2022-05-05,META,Meta Platforms,356.31,374.75,355.63,373.41,15942590
2022-05-06,META,Meta Platforms,378.5,378.84,368.04,368.98,14027466
2022-05-09,META,Meta Platforms,372.51,372.93,367.75,370.49,20977737
2022-05-10,META,Meta Platforms,380.64,382.59,374.69,376.85,24183331
2022-05-11,META,Meta Platforms,378.42,381.65,366.15,366.77,22404496
2022-05-12,META,Meta Platforms,363.82,364.19,356.04,357.04,16589310
2022-05-13,META,Meta Platforms,363.54,374.38,362.23,370.03,15805444
2022-05-16,META,Meta Platforms,366.27,367.56,363.93,365.39,20135401
2022-05-17,META,Meta Platforms,357.29,383.34,355.22,382.78,17236932
2022-05-18,META,Meta Platforms,381.9,401.41,381.15,401.31,10567390
2022-05-19,META,Meta Platforms,400.21,402.15,389.99,393.58,11170585
2022-05-20,META,Meta Platforms,393.08,408.43,392.71,407.56,22905060
2022-05-23,META,Meta Platforms,399.4,400.11,384.09,385.28,14675593
2022-05-24,META,Meta Platforms,383.53,384.75,375.35,376.84,11249797
2022-05-25,META,Meta Platforms,368.84,376.23,368.39,375.74,21163393
2022-05-26,META,Meta Platforms,377.78,383.11,375.68,381.82,12634877
2022-05-27,META,Meta Platforms,390.24,390.72,386.44,387.1,13057594
2022-05-30,META,Meta Platforms,378.6,394.75,377.43,394.18,18516726
2022-05-31,META,Meta Platforms,403.16,405.27,392.96,393.0,19718610
2022-06-01,META,Meta Platforms,395.91,398.74,377.66,378.33,14695902
2022-06-02,META,Meta Platforms,379.37,380.45,361.79,364.03,17286662
2022-06-03,META,Meta Platforms,367.78,369.73,366.75,369.19,12758203
2022-06-06,META,Meta Platforms,367.09,367.2,353.6,356.93,13348941
2022-06-07,META,Meta Platforms,355.87,372.66,355.56,369.55,17448060
2022-06-08,META,Meta Platforms,369.48,372.95,368.71,371.13,23044750
2022-06-09,META,Meta Platforms,371.65,377.9,370.12,376.75,25035466
2022-06-10,META,Meta Platforms,375.63,377.18,363.62,365.69,10021258
2022-06-13,META,Meta Platforms,364.53,364.57,352.51,352.57,8906562
2022-06-14,META,Meta Platforms,352.43,353.16,349.62,350.57,14958157
2022-06-15,META,Meta Platforms,349.35,350.97,347.1,350.42,18331356
2022-06-16,META,Meta Platforms,345.96,346.21,339.43,340.4,20640333
2022-06-17,META,Meta Platforms,339.81,343.89,337.61,341.69,21383582
2022-06-20,META,Meta Platforms,346.04,346.19,325.67,325.98,21648483
2022-06-21,META,Meta Platforms,327.73,337.25,324.88,335.38,18945522
2022-06-22,META,Meta Platforms,335.48,335.68,327.67,328.13,18887349
2022-06-23,META,Meta Platforms,331.15,337.68,330.36,334.21,14680996
2022-06-24,META,Meta Platforms,333.52,342.07,331.65,341.75,16866601
2022-06-27,META,Meta Platforms,339.66,342.24,339.39,341.48,18488704
2022-06-28,META,Meta Platforms,344.03,345.06,338.96,339.58,8269787
2022-06-29,META,Meta Platforms,343.12,344.47,340.49,340.82,9104399
2022-06-30,META,Meta Platforms,342.26,352.79,341.69,352.51,11869404
2022-07-01,META,Meta Platforms,357.43,359.65,352.56,353.13,12319733
2022-07-04,META,Meta Platforms,354.77,355.81,325.85,326.45,9928136
2022-07-05,META,Meta Platforms,327.6,330.2,326.7,329.83,24070703
2022-07-06,META,Meta Platforms,332.17,332.28,331.56,331.59,14878412
2022-07-07,META,Meta Platforms,330.74,333.16,329.36,330.31,14409925
2022-07-08,META,Meta Platforms,336.62,339.22,335.6,337.5,12972905
2022-07-11,META,Meta Platforms,337.39,337.94,331.07,331.9,24292821
2022-07-12,META,Meta Platforms,327.55,340.67,325.66,340.26,17506176
2022-07-13,META,Meta Platforms,333.34,335.54,323.39,323.74,5421552
2022-07-14,META,Meta Platforms,322.8,333.17,322.79,330.74,17187635
2022-07-15,META,Meta Platforms,323.99,335.33,320.45,335.22,17312709
2022-07-18,META,Meta Platforms,337.31,339.36,329.38,332.83,16270973
2022-07-19,META,Meta Platforms,335.37,337.78,328.07,331.75,19179414
2022-07-20,META,Meta Platforms,333.2,344.7,330.55,344.55,7657805
2022-07-21,META,Meta Platforms,345.52,346.47,335.88,337.27,20597874
2022-07-22,META,Meta Platforms,331.72,353.15,330.05,353.14,44124542
2022-07-25,META,Meta Platforms,353.11,353.37,348.93,350.0,18325763
2022-07-26,META,Meta Platforms,344.45,349.75,344.22,348.78,16621324
2022-07-27,META,Meta Platforms,349.89,355.93,349.11,355.17,24943290
2022-07-28,META,Meta Platforms,354.41,354.99,349.17,349.81,11400570
2022-07-29,META,Meta Platforms,351.35,352.04,344.51,346.09,15675621
2022-08-01,META,Meta Platforms,337.5,349.96,336.3,349.66,18428942
2022-08-02,META,Meta Platforms,345.32,358.55,344.66,358.37,12866858
2022-08-03,META,Meta Platforms,362.45,364.95,334.95,336.69,17626002
2022-08-04,META,Meta Platforms,339.6,339.89,333.27,333.91,16979330
2022-08-05,META,Meta Platforms,330.86,331.79,327.22,327.39,12957856
2022-08-08,META,Meta Platforms,323.17,326.74,321.95,326.17,14516779
2022-08-09,META,Meta Platforms,330.4,331.84,322.14,322.35,9547300
2022-08-10,META,Meta Platforms,323.79,324.48,313.15,315.64,14460621
2022-08-11,META,Meta Platforms,316.98,321.27,316.74,318.45,10358860
2022-08-12,META,Meta Platforms,314.79,318.54,314.41,317.35,14475764
2022-08-15,META,Meta Platforms,318.2,321.63,316.54,321.3,13108368
2022-08-16,META,Meta Platforms,320.57,323.35,320.34,322.53,21441269
2022-08-17,META,Meta Platforms,321.3,333.85,319.89,333.51,15226785
2022-08-18,META,Meta Platforms,335.5,343.36,333.53,341.55,25344901
2022-08-19,META,Meta Platforms,339.51,346.52,337.77,345.78,12253658
2022-08-22,META,Meta Platforms,345.39,347.88,327.01,327.85,16204511
2022-08-23,META,Meta Platforms,330.11,330.41,322.87,322.89,21062524
2022-08-24,META,Meta Platforms,324.57,325.34,312.07,312.51,28517228
2022-08-25,META,Meta Platforms,316.24,316.83,308.4,308.96,14217543
2022-08-26,META,Meta Platforms,309.77,310.01,304.99,306.94,13051994
2022-08-29,META,Meta Platforms,307.81,308.96,292.8,294.04,18805142
2022-08-30,META,Meta Platforms,295.04,304.36,293.53,303.61,19260774
2022-08-31,META,Meta Platforms,307.49,308.02,296.34,297.67,11976564
2022-09-01,META,Meta Platforms,296.49,307.65,294.71,307.17,8167434
2022-09-02,META,Meta Platforms,309.17,315.23,308.59,313.59,14365784
2022-09-05,META,Meta Platforms,313.42,315.58,312.75,315.53,26339391
2022-09-06,META,Meta Platforms,315.2,316.57,310.83,311.29,12087831
2022-09-07,META,Meta Platforms,308.19,310.95,307.37,309.24,13482279
2022-09-08,META,Meta Platforms,308.19,309.07,307.74,308.52,9803373
2022-09-09,META,Meta Platforms,307.76,319.46,307.38,319.29,8663631
2022-09-12,META,Meta Platforms,310.48,319.36,310.28,317.26,19014244
2022-09-13,META,Meta Platforms,317.78,321.74,312.01,314.23,11232313
2022-09-14,META,Meta Platforms,308.95,319.31,307.72,317.15,15819019
2022-09-15,META,Meta Platforms,318.54,320.14,316.12,316.21,12028699
2022-09-16,META,Meta Platforms,319.43,319.61,310.74,311.54,13175629
2022-09-19,META,Meta Platforms,315.5,316.21,300.3,300.66,27259987
2022-09-20,META,Meta Platforms,302.64,302.92,287.83,289.8,23199226
2022-09-21,META,Meta Platforms,287.69,289.74,278.11,280.09,8804583
2022-09-22,META,Meta Platforms,280.27,283.73,279.77,281.67,16964294
2022-09-23,META,Meta Platforms,284.71,286.17,284.15,284.86,15949732
2022-09-26,META,Meta Platforms,283.17,301.93,282.63,301.82,16848325
2022-09-27,META,Meta Platforms,296.74,297.56,290.66,291.47,10245079
2022-09-28,META,Meta Platforms,287.76,301.63,287.31,300.14,13374483
2022-09-29,META,Meta Platforms,299.63,310.05,299.48,307.9,17722824
2022-09-30,META,Meta Platforms,307.65,307.86,300.84,302.27,15767956
2022-10-03,META,Meta Platforms,298.05,304.52,297.83,304.38,11422734
2022-10-04,META,Meta Platforms,306.86,308.29,306.68,307.91,15567474
2022-10-05,META,Meta Platforms,308.72,310.22,302.87,303.49,22181466
2022-10-06,META,Meta Platforms,299.09,299.26,289.07,289.89,10711314
2022-10-07,META,Meta Platforms,291.6,293.97,290.91,293.93,17729256
2022-10-10,META,Meta Platforms,299.0,299.05,286.11,287.39,25046958
2022-10-11,META,Meta Platforms,289.03,293.96,287.41,293.18,18336191
2022-10-12,META,Meta Platforms,288.99,290.96,288.12,288.69,22738102
2022-10-13,META,Meta Platforms,285.59,288.58,285.12,286.3,18622735
2022-10-14,META,Meta Platforms,280.54,291.14,279.8,291.1,16417796
2022-10-17,META,Meta Platforms,293.27,293.39,286.46,288.92,18862309
2022-10-18,META,Meta Platforms,291.19,294.78,290.56,293.83,12489167
2022-10-19,META,Meta Platforms,293.02,298.49,292.35,297.41,20855429
2022-10-20,META,Meta Platforms,299.6,300.85,276.03,277.65,11933595
2022-10-21,META,Meta Platforms,272.97,282.26,272.37,282.09,23258356
2022-10-24,META,Meta Platforms,274.92,283.72,274.09,283.22,12968368
2022-10-25,META,Meta Platforms,285.63,288.02,285.15,287.43,8201227
2022-10-26,META,Meta Platforms,284.37,291.99,283.74,291.82,10424172
2022-10-27,META,Meta Platforms,293.82,295.89,291.31,292.27,10793254
2022-10-28,META,Meta Platforms,291.75,295.2,291.23,293.53,24375074
2022-10-31,META,Meta Platforms,286.89,295.78,286.54,294.6,9933525
2022-11-01,META,Meta Platforms,295.81,296.12,287.07,287.75,27631610
2022-11-02,META,Meta Platforms,284.52,300.55,284.37,299.15,10554793
2022-11-03,META,Meta Platforms,301.01,301.1,296.82,297.22,14418279
2022-11-04,META,Meta Platforms,301.25,302.31,285.03,287.13,16274977
2022-11-07,META,Meta Platforms,289.74,295.25,288.19,294.78,14223780
2022-11-08,META,Meta Platforms,292.57,293.92,287.59,289.9,28792585
2022-11-09,META,Meta Platforms,291.77,295.38,289.43,293.34,25299061
2022-11-10,META,Meta Platforms,291.38,293.28,290.95,292.16,16186426
2022-11-11,META,Meta Platforms,292.69,294.45,283.8,284.32,15915695
2022-11-14,META,Meta Platforms,287.56,287.59,280.47,281.06,16184890
2022-11-15,META,Meta Platforms,283.41,285.13,280.19,281.04,19593310
2022-11-16,META,Meta Platforms,283.77,285.16,273.19,275.73,17709600
2022-11-17,META,Meta Platforms,273.37,274.05,270.28,270.37,24902881
2022-11-18,META,Meta Platforms,266.61,268.55,257.14,257.4,10663090
2022-11-21,META,Meta Platforms,259.37,260.17,252.67,253.87,11537511
2022-11-22,META,Meta Platforms,253.99,254.65,248.43,248.52,11111271
2022-11-23,META,Meta Platforms,244.91,245.49,239.45,240.69,21448416
2022-11-24,META,Meta Platforms,240.01,241.46,239.07,239.1,9131395
2022-11-25,META,Meta Platforms,240.35,241.08,230.43,230.64,15258424
2022-11-28,META,Meta Platforms,230.81,231.35,229.39,229.65,19261150
2022-11-29,META,Meta Platforms,230.43,233.92,230.19,232.63,15101032
2022-11-30,META,Meta Platforms,230.84,237.15,229.49,236.48,14096276
2022-12-01,META,Meta Platforms,235.92,243.13,235.35,241.94,11183251
2022-12-02,META,Meta Platforms,242.56,242.9,239.54,241.08,15179605
2022-12-05,META,Meta Platforms,240.64,242.78,240.29,241.84,25531682
2022-12-06,META,Meta Platforms,242.92,243.7,237.76,238.01,12387985
2022-12-07,META,Meta Platforms,241.1,243.06,241.06,241.56,10612917
2022-12-08,META,Meta Platforms,245.15,256.0,244.6,255.83,16969553
2022-12-09,META,Meta Platforms,255.59,259.51,253.62,259.3,14376908
2022-12-12,META,Meta Platforms,254.65,256.86,253.91,256.15,14964195
2022-12-13,META,Meta Platforms,257.73,262.9,256.45,261.95,12647681
2022-12-14,META,Meta Platforms,257.81,259.43,255.14,255.55,26524247
2022-12-15,META,Meta Platforms,251.99,252.13,248.29,249.16,19217238
2022-12-16,META,Meta Platforms,251.22,251.69,239.45,239.82,11485397
2022-12-19,META,Meta Platforms,236.72,240.61,236.39,239.87,10677627
2022-12-20,META,Meta Platforms,237.94,243.16,235.78,242.0,11778208
2022-12-21,META,Meta Platforms,237.56,251.46,237.52,251.3,17534964
2022-12-22,META,Meta Platforms,251.51,257.07,251.19,256.95,19611280
2022-12-23,META,Meta Platforms,257.55,258.91,249.63,249.96,15764882
2022-12-26,META,Meta Platforms,249.09,250.11,248.09,249.02,18071809
2022-12-27,META,Meta Platforms,247.6,248.66,239.28,239.32,14393086
2022-12-28,META,Meta Platforms,238.7,248.18,238.54,247.84,11607848
2022-12-29,META,Meta Platforms,248.96,249.43,247.65,247.84,12435129
2022-12-30,META,Meta Platforms,250.2,252.5,248.71,252.36,12805145
2023-01-02,META,Meta Platforms,249.56,266.41,249.07,266.0,18396240
2023-01-03,META,Meta Platforms,264.44,285.06,263.82,283.92,8946703
2023-01-04,META,Meta Platforms,281.85,287.55,281.09,286.37,14506610
2023-01-05,META,Meta Platforms,283.19,284.21,279.47,279.71,11288856
2023-01-06,META,Meta Platforms,275.27,275.38,269.12,270.77,24090059
2023-01-09,META,Meta Platforms,271.04,280.6,270.09,279.47,25398651
2023-01-10,META,Meta Platforms,273.86,282.05,273.25,281.6,10362998
2023-01-11,META,Meta Platforms,282.52,294.33,280.72,293.49,15099900
2023-01-12,META,Meta Platforms,295.35,296.93,294.05,295.29,26165379
2023-01-13,META,Meta Platforms,297.47,298.45,295.16,295.62,10597708
2023-01-16,META,Meta Platforms,295.05,296.51,294.95,296.17,24281944
2023-01-17,META,Meta Platforms,297.26,306.81,296.82,306.31,20728465
2023-01-18,META,Meta Platforms,306.47,307.97,304.59,307.42,14229501
2023-01-19,META,Meta Platforms,311.36,313.32,299.26,299.8,28245583
2023-01-20,META,Meta Platforms,301.47,312.13,301.26,310.74,12668666
2023-01-23,META,Meta Platforms,314.56,316.56,302.34,303.43,27050829
2023-01-24,META,Meta Platforms,296.34,297.42,291.74,291.96,18776673
2023-01-25,META,Meta Platforms,291.12,294.02,290.01,293.11,21420876
2023-01-26,META,Meta Platforms,294.31,294.89,285.99,286.55,21884553
2023-01-27,META,Meta Platforms,286.99,288.14,277.78,277.99,14531507
2023-01-30,META,Meta Platforms,278.94,283.03,277.78,282.7,19781472
2023-01-31,META,Meta Platforms,279.48,280.15,277.14,277.35,17635485
2023-02-01,META,Meta Platforms,276.63,282.43,276.32,281.52,16974866
2023-02-02,META,Meta Platforms,280.85,282.54,277.66,277.96,18947922
2023-02-03,META,Meta Platforms,281.42,281.43,270.26,270.47,16323414
2023-02-06,META,Meta Platforms,269.8,274.74,269.65,274.51,23104131
2023-02-07,META,Meta Platforms,268.81,284.2,268.16,281.9,7058102
2023-02-08,META,Meta Platforms,282.06,291.04,280.85,289.99,37036044
2023-02-09,META,Meta Platforms,287.34,291.2,286.18,290.09,20904669
2023-02-10,META,Meta Platforms,290.4,294.19,289.53,293.74,19753899
2023-02-13,META,Meta Platforms,292.35,301.0,291.06,299.26,14103275
2023-02-14,META,Meta Platforms,299.94,300.89,296.76,297.74,28881065
2023-02-15,META,Meta Platforms,292.66,303.62,291.81,303.54,16143706
2023-02-16,META,Meta Platforms,300.76,306.8,299.94,306.54,22730078
2023-02-17,META,Meta Platforms,304.12,305.35,294.71,294.86,22091428
2023-02-20,META,Meta Platforms,293.88,294.75,289.2,289.62,15672990
2023-02-21,META,Meta Platforms,291.11,292.57,282.09,283.32,14423436
2023-02-22,META,Meta Platforms,286.5,287.31,266.86,268.14,23934474
2023-02-23,META,Meta Platforms,268.78,278.45,268.78,276.03,15042301
2023-02-24,META,Meta Platforms,279.98,281.09,278.2,278.91,17711725
2023-02-27,META,Meta Platforms,276.88,288.26,276.33,287.39,24965597
2023-02-28,META,Meta Platforms,297.19,297.31,285.98,286.4,12759639
2023-03-01,META,Meta Platforms,289.04,291.78,287.59,287.62,26477586
2023-03-02,META,Meta Platforms,289.17,289.68,282.02,283.64,35370040
2023-03-03,META,Meta Platforms,289.23,291.17,275.0,275.99,13678521
2023-03-06,META,Meta Platforms,279.06,288.43,278.4,285.95,16899226
2023-03-07,META,Meta Platforms,284.57,286.06,281.92,282.36,22230740
2023-03-08,META,Meta Platforms,286.94,287.87,284.86,284.94,12930775
2023-03-09,META,Meta Platforms,289.06,291.78,272.84,273.21,15444808
2023-03-10,META,Meta Platforms,269.18,269.94,267.68,268.03,18785684
2023-03-13,META,Meta Platforms,270.87,274.07,270.53,272.83,9856450
2023-03-14,META,Meta Platforms,273.29,274.98,265.35,266.5,14546305
2023-03-15,META,Meta Platforms,268.14,268.87,255.31,255.99,11724892
2023-03-16,META,Meta Platforms,258.67,260.29,258.62,260.11,10282981
2023-03-17,META,Meta Platforms,258.15,264.52,257.93,263.2,17810552
2023-03-20,META,Meta Platforms,265.47,266.2,265.23,265.7,25860012
2023-03-21,META,Meta Platforms,265.61,265.63,259.99,261.42,13295376
2023-03-22,META,Meta Platforms,258.73,267.93,258.66,267.39,12331600
2023-03-23,META,Meta Platforms,266.09,267.8,253.31,253.31,28184428
2023-03-24,META,Meta Platforms,252.61,256.02,251.89,255.24,23736309
2023-03-27,META,Meta Platforms,259.07,260.54,239.28,241.2,31586559
2023-03-28,META,Meta Platforms,244.04,247.32,243.83,246.59,9074671
2023-03-29,META,Meta Platforms,243.02,255.34,240.6,254.02,18524254
2023-03-30,META,Meta Platforms,253.75,254.97,244.43,245.08,15862825
2023-03-31,META,Meta Platforms,245.6,250.96,245.53,250.5,12860552
2023-04-03,META,Meta Platforms,254.6,255.24,242.91,243.57,12155179
2023-04-04,META,Meta Platforms,245.5,245.87,243.22,243.8,8274303
2023-04-05,META,Meta Platforms,244.34,245.61,243.25,244.42,17499909
2023-04-06,META,Meta Platforms,250.84,251.02,249.02,250.14,17496196
2023-04-07,META,Meta Platforms,253.1,256.83,252.44,255.69,18453165
2023-04-10,META,Meta Platforms,253.57,254.51,251.87,253.33,18548332
2023-04-11,META,Meta Platforms,252.37,252.71,248.13,248.23,16380455
2023-04-12,META,Meta Platforms,246.52,246.72,238.97,239.05,10455713
2023-04-13,META,Meta Platforms,235.8,237.57,235.61,237.12,13044673
2023-04-14,META,Meta Platforms,238.06,239.8,237.3,239.26,13161261
2023-04-17,META,Meta Platforms,241.46,249.4,240.8,249.25,10809062
2023-04-18,META,Meta Platforms,247.34,247.68,243.92,244.93,14331640
2023-04-19,META,Meta Platforms,243.67,244.91,237.24,237.83,16507165
2023-04-20,META,Meta Platforms,238.81,247.98,237.89,247.77,9358093
2023-04-21,META,Meta Platforms,250.54,255.8,248.29,253.72,11170767
2023-04-24,META,Meta Platforms,255.68,261.19,254.21,259.24,32034600
2023-04-25,META,Meta Platforms,258.75,258.79,249.62,250.71,15160342
2023-04-26,META,Meta Platforms,249.85,250.98,247.91,247.93,15771390
2023-04-27,META,Meta Platforms,248.6,250.63,247.62,248.86,13181962
2023-04-28,META,Meta Platforms,247.63,252.72,247.09,252.32,25639771
2023-05-01,META,Meta Platforms,250.58,255.77,250.57,255.57,16886646
2023-05-02,META,Meta Platforms,252.84,253.36,248.2,249.26,23029288
2023-05-03,META,Meta Platforms,253.46,254.58,243.52,244.48,10341489
2023-05-04,META,Meta Platforms,242.96,249.94,242.61,248.03,12584280
2023-05-05,META,Meta Platforms,249.52,249.94,244.75,247.02,15010787
2023-05-08,META,Meta Platforms,246.48,246.98,239.58,241.17,18684292
2023-05-09,META,Meta Platforms,239.56,241.85,238.9,241.66,21425540
2023-05-10,META,Meta Platforms,244.64,245.17,236.9,237.63,19112675
2023-05-11,META,Meta Platforms,238.14,244.1,237.3,243.52,15059333
2023-05-12,META,Meta Platforms,243.46,257.33,242.92,256.21,12129018
2023-05-15,META,Meta Platforms,255.16,255.73,251.9,252.67,27990349
2023-05-16,META,Meta Platforms,250.67,251.18,242.7,245.47,13666173
2023-05-17,META,Meta Platforms,243.07,244.45,242.99,243.34,8466454
2023-05-18,META,Meta Platforms,238.27,238.79,238.03,238.14,11264132
2023-05-19,META,Meta Platforms,239.81,240.49,236.05,236.47,14465866
2023-05-22,META,Meta Platforms,233.06,236.7,232.71,235.84,10740856
2023-05-23,META,Meta Platforms,236.87,237.43,227.72,228.88,16891452
2023-05-24,META,Meta Platforms,229.31,229.64,224.93,225.37,24241211
2023-05-25,META,Meta Platforms,226.9,230.98,226.52,230.74,10215072
2023-05-26,META,Meta Platforms,230.79,239.46,229.71,238.0,21325242
2023-05-29,META,Meta Platforms,234.6,237.32,234.16,237.03,14320608
2023-05-30,META,Meta Platforms,236.38,236.58,236.08,236.32,22624190
2023-05-31,META,Meta Platforms,236.85,237.02,221.27,222.06,14577404
2023-06-01,META,Meta Platforms,224.18,224.87,218.07,218.46,27974197
2023-06-02,META,Meta Platforms,218.89,220.44,218.8,219.53,17637071
2023-06-05,META,Meta Platforms,216.74,220.76,215.91,220.2,19731250
2023-06-06,META,Meta Platforms,217.79,218.29,215.94,217.88,28018611
2023-06-07,META,Meta Platforms,218.57,218.63,217.17,217.55,43995195
2023-06-08,META,Meta Platforms,220.5,221.29,216.59,216.67,27544980
2023-06-09,META,Meta Platforms,215.71,215.92,210.64,211.53,18338309
2023-06-12,META,Meta Platforms,211.64,214.2,211.06,213.78,15571906
2023-06-13,META,Meta Platforms,213.75,214.33,210.05,212.19,17705009
